"vs" "exempt_group" "country" "ets_sector" "sec4dig" "carb_int" "trade_int" "ets"
"65" 2 "not exempt" "Belgium" "Food/Tobacco" 1589 0.495176941156387 22.3261260986328 1
"66" 4 "B & CI>5" "Belgium" "Iron&Steel" 2710 10.5117664337158 32.4419403076172 1
"67" 1 "not exempt" "Belgium" "FabricatedMetals" 2821 2.32047057151794 14.4484720230103 1
"68" 1 "not exempt" "Belgium" "Food/Tobacco" 1589 0.516490280628204 22.1543350219727 0
"69" 1 "B & CI<5" "Belgium" "Vehicles" 3530 0.492756128311157 79.7535705566406 1
"70" 3 "not exempt" "Belgium" "Food/Tobacco" 1586 0.566319286823273 12.5103540420532 1
"71" 4 "not exempt" "Belgium" "Vehicles" 3410 0.39039134979248 29.0632019042969 1
"72" 1 "not exempt" "Belgium" "Vehicles" 3410 0.414397597312927 28.9330387115479 1
"73" 1 "not exempt" "Belgium" "Food/Tobacco" 1542 2.26615977287292 19.3097972869873 1
"74" 1 "B & CI>5" "Belgium" "Chemical&Plastic" 2414 5.4431004524231 46.2261505126953 0
"75" NA "not exempt" "Belgium" "Vehicles" 3430 0.758236706256866 24.8314552307129 0
"76" 1 "not exempt" "Belgium" "FabricatedMetals" 2851 2.4992048740387 NA 1
"77" 1 "not exempt" "Belgium" "Food/Tobacco" 1551 1.21413266658783 7.74777746200562 0
"78" 3 "not exempt" "Belgium" "Food/Tobacco" 1531 1.25323474407196 5.83773469924927 1
"79" 1 "not exempt" "Belgium" "Cement" 2640 9.71444034576416 2.85964369773865 1
"80" 1 "not exempt" "Belgium" "Food/Tobacco" 1589 0.624566078186035 22.2628726959229 1
"81" NA "B & CI>5" "Belgium" "Chemical&Plastic" 2414 5.42378807067871 46.357536315918 0
"82" 3 "B & CI>5" "Belgium" "Food/Tobacco" 1597 5.7584433555603 30.740779876709 1
"83" 3 "not exempt" "Belgium" "FabricatedMetals" 2811 2.41843175888062 8.28747653961182 1
"84" 1 "B & CI<5" "Belgium" "Machinery&Optics" 2942 2.43381667137146 48.4488105773926 0
"85" 1 "not exempt" "Belgium" "Wood&Paper" 2121 1.62964653968811 5.14601564407349 0
"86" 1 "not exempt" "Belgium" "Furniture/nec" 3613 2.34249091148376 7.22760534286499 0
"87" 1 "not exempt" "Belgium" "Food/Tobacco" 1551 1.32964062690735 7.51217365264893 1
"88" 5 "not exempt" "Belgium" "Cement" 2640 9.86851406097412 2.492591381073 1
"89" 5 "B & CI>5" "Belgium" "Textile/Leather" 1711 4.94865083694458 40.4088706970215 0
"90" 1 "not exempt" "Belgium" "Chemical&Plastic" 2521 1.56379628181458 20.4681797027588 0
"91" 1 "B & CI<5" "Belgium" "Textile/Leather" 1725 2.55828404426575 58.4094467163086 0
"92" 1 "B & CI<5" "Belgium" "Vehicles" 3530 0.434037923812866 79.7502670288086 0
"93" 1 "not exempt" "Belgium" "Food/Tobacco" 1531 1.31176936626434 6.03546333312988 1
"94" 5 "B & CI>5" "Belgium" "Chemical&Plastic" 2414 5.25554943084717 46.2555236816406 1
"95" 1 "not exempt" "Belgium" "Publishing" 2224 2.4977490901947 6.63461971282959 0
"96" 2 "C" "Belgium" "Food/Tobacco" 1583 5.38651752471924 19.4067134857178 1
"97" 1 "not exempt" "Belgium" "Wood&Paper" 2121 1.79408586025238 5.30282545089722 0
"98" 1 "not exempt" "Belgium" "Food/Tobacco" 1533 0.83876621723175 21.5810050964355 1
"99" 1 "B & CI>5" "Belgium" "Iron&Steel" 2710 10.6796426773071 32.4432678222656 1
"100" 3 "not exempt" "Belgium" "Chemical&Plastic" 2513 0.987574636936188 26.5245113372803 1
"101" 1 "A" "Belgium" "Cement" 2651 45.4222106933594 6.89928960800171 1
"102" 1 "not exempt" "Belgium" "Food/Tobacco" 1584 0.646825850009918 12.497350692749 0
"103" 1 "not exempt" "Belgium" "Cement" 2666 2.51179957389832 17.7483539581299 1
"104" 1 "not exempt" "Belgium" "Publishing" 2221 2.60451364517212 3.35236668586731 0
"105" NA "not exempt" "Belgium" "Chemical&Plastic" 2521 1.39104306697845 20.3039531707764 0
"106" 1 "B & CI<5" "Belgium" "Textile/Leather" 1717 2.49336504936218 40.541675567627 0
"107" 1 "B & CI<5" "Belgium" "Textile/Leather" 1751 0.841317236423492 31.2186069488525 0
"108" 1 "B & CI<5" "Belgium" "Machinery&Optics" 2924 2.58416867256165 46.475456237793 0
"109" 2 "not exempt" "Belgium" "Cement" 2640 9.97065448760986 2.63229012489319 1
"110" 1 NA "Belgium" "Wholesale" 5133 NA NA 1
"111" 1 "B & CI<5" "Belgium" "Machinery&Optics" 2942 2.42132639884949 48.5287322998047 0
"112" 1 NA "Belgium" "Wholesale" 5116 NA NA 1
"113" 1 "C" "Belgium" "Food/Tobacco" 1592 5.67037868499756 17.1677169799805 0
"114" 3 "not exempt" "Belgium" "Textile/Leather" 1730 1.45460641384125 1.63452291488647 1
"115" 1 "not exempt" "Belgium" "Food/Tobacco" 1551 1.22000014781952 7.55155372619629 1
"116" 1 "B & CI<5" "Belgium" "Machinery&Optics" 3162 0.659992694854736 44.647762298584 0
"117" 1 "C" "Belgium" "Wood&Paper" 2112 10.0919246673584 25.5891265869141 1
"118" NA "B & CI<5" "Belgium" "Textile/Leather" 1751 0.760741293430328 31.1946716308594 1
"119" 3 "not exempt" "Belgium" "Cement" 2640 9.95815086364746 2.68479776382446 1
"120" 4 "B & CI>5" "Belgium" "Chemical&Plastic" 2414 5.50495719909668 46.466552734375 1
"121" 1 "C" "Belgium" "Wood&Paper" 2112 10.115550994873 25.6194763183594 1
"122" 1 "not exempt" "Belgium" "Wood&Paper" 2020 3.61162376403809 23.9161434173584 1
"123" 1 "not exempt" "Belgium" "Chemical&Plastic" 2416 3.03871583938599 26.9973526000977 1
"124" NA "B & CI>5" "Belgium" "OtherBasicMetals" 2742 13.9869899749756 36.0437889099121 1
"125" 3 NA "Belgium" "OtherBusinessServices" 7487 NA NA 1
"126" 1 "not exempt" "Belgium" "Food/Tobacco" 1531 1.32618200778961 5.94079065322876 1
"127" 1 "not exempt" "Belgium" "Cement" 2661 2.69321346282959 1.48803949356079 1
"128" 1 "not exempt" "Belgium" "Glass" 2614 3.63961958885193 23.627613067627 1
