"bench" "emp" "co2" "beta0" "beta1" "trade_int_less" "carb_int" "turn"
"1" 0.7572 446.75 8225 4.59511995315552 0 18.4062461853027 0.800000011920929 210642.09375
"2" 1.052025 169.75 12360.5 4.59511995315552 0 21.1921691894531 5.40000009536743 74651.453125
"3" 3.82186666666667 506.333343505859 60936.5 4.59511995315552 0 11.5113382339478 10.1999998092651 427985.875
"4" 69.4858666666667 667.25 2038472 -4.59512090682983 5.63549610888003e-06 4.45061635971069 45.5 424095.875
"5" 1.53783333333333 230.75 48778 4.59511995315552 0 1.02681088447571 2.5 134747.609375
"6" 1.5482 42 32027 4.59511995315552 0 0.770594954490662 9.80000019073486 26329.982421875
"7" 1.7432 323.25 26150 4.59511995315552 0 27.1968536376953 2.40000009536743 121318.2421875
"8" 12.5753333333333 2994.25 220506.5 4.59511995315552 0 17.1809310913086 7.40000009536743 3130146.5
"9" 3.53926666666667 314.5 32217 -0.200670748949051 0.000122028344776481 9.6202564239502 3.70000004768372 162961.0625
"10" 46.4268333333333 345.25 252773.5 -0.200670748949051 1.55530033225659e-05 12.0610523223877 70.1999969482422 413552.28125
"11" 2.56226666666667 292 27035 4.59511995315552 0 24.1768169403076 5.5 826595.3125
"12" 0.638733333333333 687.75 8379 2.94443893432617 0.000246252689976245 26.1497783660889 1.29999995231628 285487.625
"13" 1.6942 687.5 62445.5 2.19722461700439 0 7.37445592880249 1.39999997615814 632000.3125
"14" 3.64426666666667 212.5 58959 4.59511995315552 0 21.0884037017822 4.30000019073486 323922.875
"15" 0.4178 17 6941 4.59511995315552 0 0.770594954490662 9.80000019073486 1574
"16" 1.94846666666667 4326 28065 4.59511995315552 0 10.8419990539551 0.300000011920929 5022655
"17" 13.9083333333333 3083.75 3514865 2.94443893432617 0 16.0038547515869 10.6000003814697 1698940.625
"18" 37.4648 435.75 438270.5 4.59511995315552 0 21.1921691894531 5.40000009536743 411015.6875
"19" 24.0256666666667 204.5 492647 2.19722461700439 6.08421260039904e-06 67.9247970581055 11.6999998092651 272936.5
"20" 210.378933333333 1009.75 3687784.5 4.59511995315552 0 67.9247970581055 11.6999998092651 881290.8125
"21" 9.11353333333333 475 128432 4.59511995315552 0 13.9828433990479 17.5 342242.625
"22" 1.75073333333333 9665.5 34301.5 2.19722461700439 8.73830285854638e-05 11.0117530822754 1.89999997615814 3075902
"23" 2.61206666666667 927.75 8195.5 4.59511995315552 0 9.6202564239502 3.70000004768372 731877.625
"24" 0.450133333333333 535 5964 4.59511995315552 0 18.4062461853027 0.800000011920929 132860.734375
"25" 29.9812666666667 1025.75 329285 2.19722461700439 9.10265862330562e-06 19.2343406677246 1.60000002384186 614019.3125
"26" 1.54494166666667 457.25 77883.5 2.19722461700439 3.84852901333943e-05 1.2346853017807 8.89999961853027 533140.875
"27" 2.78733333333333 93.25 46789 2.19722461700439 6.40614016447216e-05 67.9247970581055 11.6999998092651 159074.40625
"28" 2.23493333333333 243 45605 2.19722461700439 2.04806037800154e-05 1.2346853017807 8.89999961853027 385450.9375
"29" 0.3276 11654.25 771751.5 4.59511995315552 0 10.073094367981 8 3007828.75
"30" 0.890666666666667 581 34009.5 4.59511995315552 0 6.65230226516724 2 280763.09375
