"sec4dig" "carb_int" "trade_int" "n_install" "emp" "co2" "firm_sec"
"170" 2411 8.79575634002686 4.27367639541626 2 419.916687011719 77883.5 1
"171" 2320 11.6453399658203 16.1216278076172 1 93.25 46789 1
"172" 2411 9.02722072601318 4.10067558288574 1 243 45605 1
"173" 3410 0.546248853206635 29.1115207672119 1 3916.5 21218 1
"174" 2524 0.683776497840881 20.1929054260254 1 721 5172.5 1
"175" 2413 11.9044103622437 31.6236534118652 2 8151.25 101130 1
"176" 2710 10.450213432312 32.3424453735352 1 139.5 18281 1
"177" 1551 1.23501241207123 7.58223390579224 1 460 17713.5 1
"178" 1583 5.36221742630005 19.4619884490967 1 226.5 106256.5 1
"179" 2611 7.8144998550415 21.0037746429443 3 6261.72216796875 771751.5 1
"180" 2522 1.97686529159546 14.0402803421021 1 581 34009.5 1
"181" 1725 2.57403945922852 58.2587585449219 1 1054.75 9356.5 1
"182" 2470 4.2517614364624 32.631534576416 1 351 35480.5 1
"183" 1582 2.49445867538452 6.14575624465942 1 1281.75 6662.5 1
"184" 1596 0.677837550640106 7.19073915481567 1 406.25 8166 1
"185" 2414 5.53208923339844 46.2665405273438 1 227.5 112231.5 1
"186" 2411 9.04596900939941 4.25203800201416 1 206.75 13809.5 1
"187" 2320 11.784987449646 16.1023921966553 3 2268 1796214 1
"188" 2411 8.93828868865967 4.10901784896851 1 502.5 85245.5 1
"189" 1589 0.495176941156387 22.3261260986328 1 108.75 17748 1
"190" 2112 10.1836891174316 25.7838973999023 1 434.25 40283.5 1
"191" 2710 10.5117664337158 32.4419403076172 2 1612.75 282864 1
"192" 2821 2.32047057151794 14.4484720230103 1 143.5 2351 1
"193" 2112 10.0843257904053 25.7021598815918 1 79.5 12345.5 1
"194" 1531 1.30268573760986 5.77739000320435 1 422.25 49432.5 1
"195" 2640 9.89593315124512 2.52434849739075 1 52 11849.5 1
"196" 3530 0.492756128311157 79.7535705566406 1 1703 12537.5 1
"197" 1721 1.26907539367676 58.3330612182617 1 10.75 0 1
"198" 1586 0.566319286823273 12.5103540420532 1 153.75 22680.5 1
"199" 2651 45.5717544555664 6.77356719970703 1 466.25 1437391.5 1
"200" 3410 0.39039134979248 29.0632019042969 1 4815.5 33439 1
"201" 3410 0.414397597312927 28.9330387115479 1 2773.25 2866 1
"202" 1542 2.26615977287292 19.3097972869873 1 434.5 11036.5 1
"203" 2112 10.2293634414673 25.6884307861328 1 691.25 201553.5 1
"204" 1598 0.43653279542923 6.31285667419434 1 560 6501 1
"205" 2710 10.494291305542 32.1194076538086 1 875.75 142570.5 1
"206" 2830 0.811875879764557 12.462366104126 1 998 2946.5 1
"207" 2851 2.4992048740387 0 1 131.33332824707 27235.5 1
"208" 1531 1.25323474407196 5.83773469924927 1 90.75 19809.5 1
"209" 2640 9.71444034576416 2.85964369773865 1 224 19485 1
"210" 1589 0.624566078186035 22.2628726959229 1 151.25 41825 1
"211" 1597 5.7584433555603 30.740779876709 1 37.25 19170 1
"212" 1598 0.701800584793091 6.31429147720337 1 2460 6774 1
"213" 2811 2.41843175888062 8.28747653961182 1 99.75 12938.5 1
"214" 2414 5.4276123046875 46.3252983093262 1 74.75 6882 1
"215" 2613 7.25968599319458 24.3280220031738 1 523 20349.5 1
"216" 2320 11.5836343765259 16.1062889099121 1 NA 59013.5 1
"217" 2320 11.5505599975586 16.1784839630127 1 NA 13684.5 1
"218" 1551 1.32964062690735 7.51217365264893 1 239.5 8252 1
"219" 2640 9.86851406097412 2.492591381073 1 102.5 44084 1
"220" 2640 9.70650005340576 2.70759248733521 0.333333343267441 27.9166679382324 10069.5 0.333333343267441
"221" 2682 1.68479466438293 17.9283275604248 0.200000002980232 16.75 6041.7001953125 0.333333343267441
"222" 3530 0.434037923812866 79.7502670288086 1 1327.75 2249 1
"223" 1531 1.31176936626434 6.03546333312988 1 171.66667175293 28879.5 1
"224" 2416 3.05938720703125 27.2386474609375 1 167.75 190060.5 1
"225" 2414 5.25554943084717 46.2555236816406 1 640.75 653237 1
"226" 2416 2.89929413795471 27.1096782684326 1 NA 16640.5 1
"227" 1596 0.736736476421356 7.0493016242981 2 2925.25 62599.5 1
"228" 1584 0.617675304412842 12.4563932418823 1 878.25 9048 1
